Year	Sex	Height
1988	m	1.76
1978	m	1.74
1977	m	1.67
1988	m	1.90
1956	m	1.77
1993	f	1.62
1960	m	1.76
1983	m	1.82
1990	m	1.84
1987	m	1.81
1967	f	1.60
1993	m	1.70
1994	m	1.86
1955	f	1.65
1998	m	1.90
1987	f	1.65
1993	m	1.81
1967	m	1.81
1951	m	1.66
1958	m	1.88
1980	m	1.73
1994	f	1.59
1959	f	1.53
1956	m	1.76
1965	m	1.89
1987	m	1.81
1975	f	1.60
1954	m	1.68
1950	f	1.67
1988	f	1.56
1998	m	1.88
1960	f	1.80
1985	f	1.60
1957	f	1.65
1975	m	1.86
1984	m	1.91
1976	m	1.98
1991	f	1.77
1954	f	1.64
1991	m	1.74
1962	m	1.63
1958	f	1.59
1963	f	1.80
1973	f	1.71
1973	m	1.74
1987	m	1.71
1960	f	1.74
1990	m	1.88
1955	f	1.66
1963	m	1.67
1978	m	1.65
1997	m	1.77
1965	f	1.79
1987	f	1.51
1977	f	1.63
1979	m	1.88
1972	m	1.81
1956	f	1.78
1972	m	1.82
1961	m	1.81
1952	f	1.70
1985	m	1.90
1969	m	1.79
1999	m	1.74
1971	f	1.63
1974	f	1.51
1987	f	1.65
1974	f	1.67
1984	m	1.80
1986	f	1.65
1950	m	1.72
1976	m	1.77
1991	f	1.55
1964	f	1.80
1959	f	1.63
1957	m	1.82
1991	f	1.64
1951	m	1.73
1984	f	1.61
1972	f	1.52
1997	f	1.70
1970	m	1.68
1955	m	1.73
1961	f	1.62
1989	m	1.70
1995	m	1.77
1986	m	1.84
1967	f	1.77
1986	m	1.81
1999	f	1.62
1974	f	1.71
1985	m	1.76
1986	m	1.85
1969	m	1.73
1957	f	1.54
1985	f	1.60
1988	f	1.57
1988	f	1.75
1984	f	1.63
1971	f	1.73
1992	m	1.86
1976	f	1.78
1952	f	1.61
1997	m	1.79
1968	m	1.94
1987	f	1.58
1983	m	1.87
1992	f	1.74
1975	f	1.51
1965	f	1.70
1968	f	1.79
1988	m	1.79
1981	f	1.50
1959	f	1.62
1966	f	1.65
1979	f	1.64
1953	m	1.79
1973	f	1.61
1961	f	1.63
1961	f	1.66
1967	m	1.92
1972	m	1.73
1971	m	1.82
1993	m	1.85
1975	f	1.62
1953	m	1.90
1967	m	1.88
1967	m	1.83
1970	f	1.71
1982	m	1.86
1962	f	1.62
1956	m	1.71
1998	f	1.60
1991	m	1.72
1956	f	1.66
1973	f	1.56
1959	m	1.85
1983	m	1.76
1978	m	1.90
1965	f	1.57
1951	f	1.61
1951	m	1.86
1981	f	1.46
1991	m	1.76
1955	m	1.71
1955	m	1.82
1952	f	1.63
1963	f	1.66
1986	m	1.75
1958	m	1.69
1995	m	1.84
1963	f	1.64
1970	m	1.84
1989	m	1.72
1964	m	1.79
1992	f	1.75
1951	f	1.64
1957	f	1.61
1990	f	1.66
1977	m	1.81
1994	m	1.88
1973	m	1.67
1955	f	1.65
1984	m	1.70
1983	m	1.86
1960	m	1.88
1983	f	1.68
1973	f	1.69
1986	f	1.61
1951	f	1.49
1990	m	1.66
1976	m	1.77
1990	f	1.66
1967	m	1.78
1964	m	1.76
1997	f	1.67
1985	f	1.61
1971	f	1.65
1996	m	1.65
1995	f	1.73
1957	f	1.57
1998	f	1.59
1988	m	1.78
1958	f	1.61
1969	f	1.60
1991	f	1.69
1998	f	1.57
1963	m	1.72
1984	m	1.75
1958	f	1.65
1975	m	2.01
1988	f	1.71
1997	m	1.85
1989	f	1.70
1999	m	1.88
1987	m	1.84
1952	f	1.63
1965	f	1.44
1975	m	1.71
1973	f	1.61
1993	f	1.69
1967	f	1.60
1963	f	1.59
1996	f	1.63
1958	m	1.70
1957	m	1.85
1985	f	1.47
1972	f	1.79
1982	f	1.54
1992	m	1.70
1958	m	1.82
1985	f	1.67
1975	m	1.76
1990	f	1.71
1970	m	1.86
1956	m	1.90
1999	f	1.72
1985	m	1.61
1968	m	1.72
1984	f	1.61
1968	f	1.61
1997	m	1.88
1992	f	1.71
1973	f	1.63
1976	f	1.63
1992	m	1.94
1995	f	1.63
1957	m	1.75
1995	f	1.63
1962	m	1.70
1982	f	1.64
1971	f	1.60
1995	f	1.51
1962	f	1.56
1956	f	1.80
1984	m	1.89
1950	f	1.57
1993	m	1.77
1971	f	1.73
1972	m	1.86
1998	f	1.65
1975	m	1.87
1974	m	1.80
1968	f	1.61
1984	f	1.66
1976	m	1.74
1959	m	1.73
1989	f	1.68
1966	m	1.72
1976	f	1.74
1989	f	1.64
1967	f	1.66
1991	m	1.82
1951	m	1.75
1971	m	1.82
1966	f	1.60
1959	f	1.52
1952	m	1.88
1954	m	1.81
1997	m	1.69
1958	f	1.66
1958	m	1.86
1967	f	1.62
1952	m	1.71
1989	m	1.89
1957	f	1.66
1960	m	1.79
1986	f	1.68
1970	m	1.69
1981	f	1.63
1977	f	1.58
1971	f	1.66
1954	m	1.71
1954	f	1.63
1977	m	1.76
1972	f	1.73
1951	m	1.84
1982	f	1.60
1968	m	1.84
1998	m	1.95
1992	f	1.67
1992	m	1.92
1981	f	1.81
1976	m	1.75
1977	f	1.64
1966	f	1.43
1989	f	1.61
1981	f	1.61
1951	m	1.84
1969	m	1.85
1971	f	1.55
1973	f	1.77
1972	m	1.80
1977	f	1.60
1958	m	1.84
1978	m	1.75
1974	m	1.77
1975	m	1.81
1973	m	1.90
1972	f	1.60
1950	m	1.73
1971	m	1.80
1974	m	1.90
1986	f	1.70
